S/N,Model,Headset,Info
755000014,BG5,3609407374,
287000003,BG 5,3609407374, 
887000019,ECH57MG 0 608 841 011,WH4 0 608 810 031, // 2017-02-22 06:34:00
WEC0007,ECH57MG 0 608 841 011,WH4 0 608 810 031, 
102000006,BG 5,0 608 PE1 110 OHO BST BM3109, 
104000024,BG 5,0 608 PE1 110 OHO BST BM3109,Uszkodzony silnik  // 2018-12-21 13:13:11
759000021, BG5,1 608 PE1 110 OHO BST BM3109 , 
C480191,ETV S7-50-10CTADS, , 
C646122,ETV S7-50-10CTADS, ,uszkodzony pin // 2018-09-24 17:39:33
C480210,ETV S7-50-10CTADS, ,Uszkodzona os�ona narzedzia
C479011,ETV S7-50-10CTADS, , // 2018-04-25 08:53:45
C8552371,ETV S7-50-10CTADS, , 
C8552370,ETV S7-50-10CTADS, , 
C480203,ETV S7-50-10CTADS,LUBBERING 80442402 S.N. 837930, 
C8740537,ETV S7-70-13 CTADS, , 
C480211,ETV S7-50-10CTADS, , 
C480209,ETV S7-50-10CTADS, ,Wymiana g�owicy // 2018-05-13 14:51:24
C8552368,ETV S7-50-10CTADS, ,Do kalibracji // 2016-11-13 20:08:50
C646136,ETV S7-50-10CTADS, , 
C558128,ETV S7-50-10CTADS, , // 2017-02-02 06:44:43
C480194,ETV S7-50-10CTADS, , 
C558125,ETV S7-50-10CTADS, ,uszkodzony transduktor // 2019-05-22 05:18:09
C480208,ETV S7-50-10CTADS,MIBA, 
C480198,ETV S7-50-10CTADS, ,W labo do kalibracji // 2018-02-25 22:47:57
C480185,ETV S7-50-10CTADS, , // 2017-02-13 20:41:36
C574028,ETV S7-50-10CTADS, , 
C480193,ETV S7-50-10CTADS, , // 2017-04-25 09:22:04
C480188,ETV S7-50-10CTADS, , 
C480205,ETV S7-50-10CTADS, , // 2018-12-20 14:49:41
C480195,ETV S7-50-10CTADS, , // 2017-07-30 17:27:40
C8552367,ETV S7-50-10CTADS, , 
C8552366,ETV S7-50-10CTADS, , 
C480202,ETV S7-50-10CTADS, , 
C480201,ETV S7-50-10CTADS, ,E538 // 2018-08-23 08:20:49
C480197,ETV S7-50-10CTADS,MIBA,
C480189,ETV S7-50-10CTADS, , 
A663476,QST50-200CTV, , 
A663477,QST50-200CTV, , 
A663478,QST50-200CTV, , 
A663479,QST50-200CTV, , 
A663480,QST50-200CTV, , // 2019-02-26 14:13:33
A663482,QST50-200CTV, , zapobiegawczo zdj�ty z wahacz lewa 3 i skalibrowany // 2019-06-19 12:20:24
A663483,QST50-200CTV, , 
A663485,QST50-200CTV, , 
A663481,QST50-200CTV, , 
B0733934,QST90-750CTV, , 
B1430889,QST50-90CT, , // 2017-08-01 20:24:47
B399205,QST50-90CT, , 
B0733937,QST90-1000CT, , 
B0691467,QST62-230CT, , 
B0691463,QST62-230CT, , 
A663484,QST50-200CTV, , 
B0691465,QST62-230CT, , 
B0691466,QST62-230CT, , 
A682921,QST62-230CTV-HAD, ,Zdj�ta z powodu du�ej ilo�ci wynik�w NOK. // 2017-10-10 00:55:42
A682922,QST62-230CTV-HAD, , 
C8391865,ETV S7-70-13CTADS,,Uszkodzony mikrowy��cznik narz�dzia (serwis) // 2017-10-24 12:21:17
C8649042,ETV S7-70-13CTADS,,B��d E537  // 2019-06-27 11:13:13
F0701739,ETV ST81-50-FS, , 
F0570213,ETV ST61-50-10, , 
F0570227,ETV ST61-50-10, , // 2019-08-30 14:53:14
F0570214,ETV ST61-50-10B, ,Kalibracja // 2019-02-26 13:55:22
F0564598,ETV ST61-70-13, ,zdj�ta do kalibracji // 2018-06-05 09:36:16
F0564152,ETV ST61-70-13, , 
F0564594,ETV ST61-70-13, , 
F1440493,ETV ST81-150-13, , 
E3381884,ETV STB62-70-13-BCR, ,Serwis triggera // 2019-02-19 20:57:42
E1840356,ETV STB32-30-10-BCR, , 
F0801871,ETV ST81-100-13, , 
E1531316,ETV STB62-50-10-BCR, , // 2019-06-27 10:53:52
E2411180,ETV STB62-50-10-BCR, ,Pojecha� do Atlas Copco
E1510447,ETV STB62-50-10-BCR, , // 2017-04-19 21:21:40
E2491464,ETV STB62-50-10-BCR, , // 2018-05-17 19:01:03
E1720758,ETV STB62-50-10-BCR, ,wadliwy cyngiel - serwis // 2019-06-26 10:10:14
E0792166,ETV STB62-50-10-BCR, , // 2019-03-22 00:39:17
E2371590,ETV STB62-50-10-BCR, , // 2019-06-01 21:14:28
E2411178,ETV STB62-50-10-BCR, , 
E1510445,ETV STB62-50-10-BCR, ,B�ad E721 // 2018-04-24 05:02:52
E2491467,ETV STB62-50-10-BCR, ,B�ad e721 // 2018-09-11 03:51:45
E2491468,ETV STB62-50-10-BCR, ,Naprawa luzu w stopce narz�dzia // 2019-01-28 10:19:11
E1831026,ETV STB62-50-10-BCR, , // 2017-10-26 05:19:08
E2410726,ETV STB62-50-10-BCR, ,trigger // 2019-02-08 05:22:17
E2410730,ETV STB62-50-10-BCR, ,Uszkodzony transduktor e535 // 2019-08-28 00:23:20
F0540555,ETV ST81-50-10, ,Przeglad g�owicy // 2018-05-12 12:51:23
F1701255,ETV ST81-50-10, ,Do wyja�nienia // 2019-04-26 08:10:55
B1720814,QST50-90CTTA, , 
B1720815,QST50-90CTTA, , 
B1720816,QST50-90CTTA, , 
B1720818,QST50-90CTTA, , 
B1720817,QST50-90CTTA, , 
B1720819,QST50-90CTTA, , 
B1720820,QST50-90CTTA, , 
B1720821,QST50-90CTTA, ,No spindel connection // 2018-02-03 09:56:33
E2441832,ETV STB62-30-10-BCR, ,strategy conf error // 2019-05-08 06:54:57
E2441833,ETV STB62-30-10-BCR, , // 2018-12-05 16:08:37
656556,Cleco IRDa 47BA28AM3, , 
661050,Cleco IRDa 17BP13Q, , 
653391,Cleco IRDa 17BP13Q,Z�OM, 
650785,Cleco IRDa 17BP13Q,Z�OM, 
655079,Cleco IRDa 47BA28AM3,Z�OM, 
653379,Cleco IRDa 17BP13Q, , 
C682175,ETV S7-200-B13 CTADS, , 
C682174,ETV S7-200-B13 CTADS, ,"Klucz ""zdemontowany z listy"" z VA30 - do zlokalizowania - Kryspin // 2016-11-22 08:56:51"
C0431984,ETV STB 63-50,LUBBERING 89131707,E535 // 2018-11-10 16:07:04
C8661070,ETV S9-370-20 CTADS, , 
C8705815,ETV S7-100 CTADS-HAD, , 
C677199,ETV S7-200-B13 CTADS, , // 2017-12-01 00:10:56
C683149,ETV S9-370-20 CTADS, , 
C683145,ETV S9-370-20 CTADS, , 
C272170,ETV S7-150-13 CTADS, , backup Z4 dla VA30 za S7-200-13 // 2018-04-18 16:02:05
C677195,ETV S7-200-B13 CTADS, , 
SF3438,47EA 43AM3, , 
SH2679,48EA 41AM3, , 
RG3759,17EA 28AM3, , // 2018-02-24 18:49:48
C7700968,ETV S7-70-13 CTADS, ,nie podejmuje pracy po za��czeniu sterownika // 2017-08-29 23:37:18
C261987,ETV S7-70-13 CTADS, , 
SD1257,47EA 43AM3, , 
C1520910,ETP STB32-06-I06-BCR, , 
E1840348,ETV STB32-15-10-BCR, , // 2018-05-16 20:50:51
C1530419,ETP STB32-06-I06-BCR, , 
E1840349,ETV STB32-15-10-BCR, ,Problemy z komunikacj� // 2019-06-24 13:16:38
C8552373,ETV S7-50-10CTADS, ,po przegladzie Z4 // 2019-01-29 00:40:23
C270471,ETV S7-50-10CTADS,Klucz na stanowisku SWB ,po przegladzie Z4 // 2019-01-29 00:40:50
787000026,BG 3 3VMC017,z PQ,Po kalibracji z PQ
789000018,BG 3 3VMC210,z PQ,Po kalibracji z PQ
787000020,BG 3 3VMC060,z PQ,Po kalibracji z PQ
287000014,BG 4,4W130 0 608 810 045, 
286000022,BG 4,VUK2D242 0 608 PE0 588,Speed error- do wymiany silnik // 2019-06-24 03:58:58
288000022,BG 5,3 609 407 374 + OHO BST BM3109, 
289000026,BG 4,0 608 PE0 937, 
888000005,BG 4,0 608 PE1 057 / ERDGAS, // 2018-02-24 19:16:45
384000138,BG 4,0 608 PE0 850 / Transduktor 4MC095, 
387000009,BG 5,VNK3C281 0 608 800 543,do test�w nasadek dla radka // 2016-11-03 16:47:13
288000017,BG 5,GK3C281 0 608 800 079, 
189000064,BG 4,VUK2D242 0 608 PE0 588,Nowy silnik MP4.1 poprzedni 286000022 // 2019-06-24 04:56:46
188000039,BG 5,GK3C281 0 608 800 079, 
188000049,BG 5,0 608 PE1 110 OHO BST BM3109, 
188000050,BG 5,GK3C281 0 608 800 079,B�edy od silnika
287000004,BG 5,GK3C281 0 608 800 079, 
285000093,BG 4,4W4 0 608 810 014, 
391000005,BG 4,4W4 0 608 810 014, 
286000019,BG 4,0 608 PE0 543, 
884000094,BG 4,0 608 PE1 057, 
287000021,BG 5,3609407374, 
188000034,BG 5,0 608 PE1 110 OHO BST BM3109, 
391000047,BG 4,4VMC360 0 608 801 006, 
286000007_s,BG 4,4VMC360 0 608 801 006, uszkodzony silnik // 2019-07-25 13:37:47
757000043,BG5,0 608 PE1 100 + Lubbering 89 824 003, 
102000003,BG 5,3 609 407 374 + L�bbering 89 824 003,Nieu�ywana z geometrii 2
758900001,BG 4,4W4 0 608 810 014,
756000113,BG 4,4W4 0 608 810 014,
982000002,BG 4,4W4 0 608 810 014,awaria op170 // 2017-07-26 06:56:54
286000059,BG 4,0 608 PE1 057,Zmieniona g�owica na PE1 057 (Zdj�te z T22)
386000002,BG 4,4W4 0 608 810 014,silnik z OP170 9.1 z przekrzywionym gniazdem - serwis?
884000093,BG 4,4W4 0 608 810 014,Przestawiony punkt zerowy transduktora 1 // 2018-11-25 00:06:22
383000039,ECH57MG 0 608 841 011,WH2 0 608 810 040,Nieu�ywana z MP4.1 . Le�y w szafie na MP4.1 // 2019-08-27 23:21:58
101000010,ECH57MG 0 608 841 011,WH4 0 608 810 031,zamontowana na manipulatorze na MP4.2 wkr�tarka nr 7 / do demonta�u
